nationalTournamentGold,national tournament gold
nationalTournamentSilver,national tournament silver
nationality,nationality
networth,networth
nndbId,NNDB id
nonProfessionalCareer,non professional career
notableIdea,notableIdea
noteOnRestingPlace,note on resting place
numberOfRun,number of run
olympicGames,olympic games
olympicGamesBronze,olympic games bronze
olympicGamesGold,olympic games gold
olympicGamesSilver,olympic games silver
olympicGamesWins,olympic games wins
opponent,opponent
orientation,orientation
originalDanseCompetition,original danse competititon
originalDanseScore,original danse score
otherActivity,other activity
otherFunction,other function
otherMedia,other media
otherOccupation,other occupation
parent,parent
parliamentaryGroup,parliamentary group
particularSign,particular sign
partner,partner
patent,patent
penisLength,penis length
personFunction,person function
pgaWins,pga wins
philosophicalSchool,philosophicalSchool
piercing,piercing
placeOfBurial,place of burial
playerStatus,player status
podium,podium
polePosition,pole position
politicalFunction,political function
profession,profession
project,project
pseudonym,pseudonym
publication,publication
raceWins,race wins
radio,radio
reign,reign
reignName,reign name
relatedFunctions,related functions
relation,relation
relative,relative
residence,residence
restingDate,resting date
restingPlace,resting place
restingPlacePosition,resting place position
retirementDate,retirement date
salary,salary
scene,scene
school,school
seasonManager,season manager
second,second
seiyu,seiyu
sentence,sentence
sex,sex
sexualOrientation,sexual orientation
shoeNumber,shoe number
shoeSize,shoe size
shoot,shoot
shortProgCompetition,short prog competition
shortProgScore,short prog score
sibling,sibling
signature,signature
significantProject,significant project
skinColor,skin color
specialTrial,special trial
speciality,speciality
sportDiscipline,sport discipline
sportsFunction,sports function
spouse,spouse
spouseName,spouse name
startCareer,start career
startReign,start reign
startWct,start xct
startWqs,start wqs
stateOfOrigin,state of origin
statusManager,status manager
student,student
tattoo,tattoo
teamManager,team manager
temple,temple
templeYear,temple year
tessitura,tessitura
third,third
titleDate,title date
tvShow,tvShow
usopenWins,usopen wins
usurper,usurper
victory,victory
victoryAsMgr,victory as manager
victoryPercentageAsMgr,victory percentage as manager
waistSize,waist size
weddingParentsDate,Parents Wedding Date
world,world
worldTournament,world tournament
worldTournamentBronze,world tournament bronze
worldTournamentGold,world tournament gold
worldTournamentSilver,world tournament silver
architecturalMovement,architectural movement
significantBuilding,significant building
significantDesign,significant design
academyAward,Academy Award
afiAward,AFI Award
associatedAct,associated act
baftaAward,BAFTA Award
cesarAward,Cesar Award
disciple,disciple
dutchRKDCode,Dutch RKD code
emmyAward,Emmy Award
field,field
filmFareAward,Film Fare Award
gaudiAward,Gaudí Award
goldenGlobeAward,Golden Globe Award
goyaAward,Goya Award
grammyAward,Grammy Award
instrument,instrument
mentor,mentor
movement,movement
polishFilmAward,Polish Film Award
style,style
tonyAward,Tony Award
training,training
voiceType,voice type
arielAward,Ariel Award
geminiAward,Gemini Award
goldenCalfAward,Golden Calf Award
goldenRaspberryAward,Golden Raspberry Award
iftaAward,IFTA Award
laurenceOlivierAward,Laurence Olivier Award
naacpImageAward,NAACP Image Award
nationalFilmAward,National Film Award
screenActorsGuildAward,Screen Actors Guild Award
numberOfFilms,number of films
americanComedyAward,American Comedy Award
britishComedyAwards,British Comedy Awards
olivierAward,Olivier Award
peabodyAward,Peabody Award
musicBand,Music Band
numberOfAlbums,number of albums
numberOfLiveAlbums,number of live albums
numberOfStudioAlbums,number of studio albums
selection,selection
asiaChampionship,asia championship
athleticsDiscipline,athletics discipline
backhand,backhand
battingSide,batting side
bowlingSide,bowling side
britishOpen,britishOpen
club,club
coachClub,coach club
coachSeason,coach season
collegeHof,college hof
currentLeague,current league
currentTeam,current team
debutTeam,debut team
draftLeague,draft league
draftPosition,draft position
draftTeam,draft team
espnId,ESPN id
europeanChampionship,european championship
fedCup,fed cup
fibahof,fibahof
finalLostTeam,final lost team
firstProMatch,first pro match
formerTeam,former team
heightAgainst,height against
heightAttack,height attack
heisman,heisman
hof,hof
hopmanCup,hopman cup
horseRidingDiscipline,horse riding discipline
ithfDate,ithf date
juniorTeam,junior team
lastProMatch,last pro match
laterality,laterality
managerClub,manager club
mvp,mvp
nationalChampionship,national championship
nationalTeam,national team
ncaaSeason,ncaa season
ncaaTeam,ncaa team
ncbhof,ncbhof
nflCode,nfl code
nflSeason,nfl season
nflTeam,nfl team
number,number
oldTeamCoached,old team coached
otherSportsExperience,otherSportsExperience
probowlPick,pro bowl pick
qatarClassic,qatar classic
selectionPoint,selection point
selectionYear,selection year
sportCountry,sport country
sportSpecialty,sport specialty
stateOfOriginPoint,state of origin point
stateOfOriginTeam,state of origin team
stateOfOriginYear,state of origin year
superbowlWin,superbowl win
supplementalDraftRound,supplemental draft round
teamCoached,team coached
teamPoint,team point
teamTitle,team title
tournamentOfChampions,tournament of champions
trainer,trainer
worldChampionTitleYear,year of world champion title
worldOpen,world open
worldTeamCup,world team cup
youthClub,youth club
statisticLabel,statistic label
statisticValue,statistic value
statisticYear,statistic year
throwingSide,throwing side
amateurDefeat,amateur defeat
amateurFight,amateur fight
amateurKo,amateur ko
amateurNoContest,amateur no contest
amateurTie,amateur tie
amateurTitle,amateur title
amateurVictory,amateur victory
boxerStyle,boxing style
defeat,defeat
fight,fight
ko,ko
noContest,no contest
tie,tie
elo,ELO rating
eloRecord,maximum ELO rating
fc,FC
fcRuns,FC runs
winsAtAlpg,wins at ALPG
winsAtAsia,wins at ASIA
winsAtAus,wins at AUS
winsAtChallenges,wins at challenges
winsAtChampionships,wins at championships
winsAtJLPGA,wins at JLPGA
winsAtJapan,wins at japan
winsAtKLPGA,wins at KLPGA
winsAtLAGT,wins at LAGT
winsAtLET,wins at LET
winsAtLPGA,wins at LPGA
winsAtMajors,wins at majors
winsAtNWIDE,wins at NWIDE
winsAtOtherTournaments,wins at other tournaments
winsAtPGA,wins at pga
winsAtProTournaments,wins at pro tournaments
winsAtSenEuro,wins at Senior Euro
winsAtSun,wins at sun
winsInEurope,wins in Europe
bbr,BBR
draftPick,draft pick
draftRound,draft round
supplementalDraftYear,supplemental draft year
undraftedYear,undrafted year
carNumber,car number
careerPoints,career points
fastestLap,fastest lap
firstRace,first race
firstWin,first win
lastPosition,last position
lastRace,last race
lastSeason,last season
lastWin,last win
podiums,podiums
poles,poles
races,races
formerHighschool,former highschool
bestWsopRank,best wsop rank
bestYearWsop,best year wsop
eptFinalTable,ept final table
eptItm,ept itm
eptTitle,ept title
wptFinalTable,wpt final table
wptItm,wpt itm
wptTitle,wpt title
wsopItm,wsop itm
wsopWinYear,wsop win year
wsopWristband,wsop wristband
bestFinish,best ranking finish
centuryBreaks,century breaks
currentRank,current rank
highestBreak,highest break
highestRank,highest rank
otherWins,other wins
